smiles,source,PCA1,PCA2,t-SNE1,t-SNE2
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2C3=C[C@H](O)[C@@]4(O)C[C@@H](O)CC[C@]4(C)[C@@]3(O)CC[C@]12C,LMSD,-2.9391301270092125,-1.0627048718443772,20.806126,-85.918655
CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCC,LMSD,-3.8139564279199876,3.6056157088969893,-92.13999,-20.389769
COc1c(-c2ccc(O)c(O)c2)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(OC)c2c1=O,LMSD,-3.106416683356766,-1.7546144633844154,-63.131046,-21.120464
CCCCC/C=C\CCCCCCCC(=O)O[C@H](CO/C=C\CCCCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,LMSD,-3.7116388812457917,3.520743429839082,-2.1118548,113.65561
COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)ccc1O,LMSD,-3.076177827658533,-1.6169806726202682,-66.77442,-20.487179
CCCCCCCCCCCCCCCCCCCC[C@H](C)C[C@H](C)/C=C(\C)C(=O)OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](OC(=O)/C(C)=C/[C@@H](C)C[C@@H](C)CCCCCCCCCCCCCCCCCCCC)[C@H](O)[C@H]2OC(=O)/C(C)=C/[C@@H](C)C[C@@H](C)CCCCCCCCCCCCCCCCCCC)[C@H](OC(=O)CCCCCCCCCCCCCCC)[C@@H](OC(=O)/C(C)=C/[C@@H](C)C[C@@H](C)CCCCCCCCCCCCCCCCCC)[C@@H]1O,LMSD,-2.60074343802609,1.8456851004497847,-98.49685,47.30217
C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](OC[C@H]3O[C@@H](Oc4c(-c5cc(O)c(O)c(O)c5)oc5cc(O)cc(O)c5c4=O)[C@H](O)[C@@H](O)[C@@H]3O)O[C@H](CO)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O,LMSD,-2.9880199361123583,-1.28773327258261,-69.67538,-21.054123
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCC/C=C\CCCCCCCCC)COC(=O)CCCCCCCCCCCCC,LMSD,-3.7456483947388945,3.732044770507111,-74.805405,9.280949
CCCCCCC/C=C\CCCCCCCC(=O)O[C@H](CO/C=C\CCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,LMSD,-3.7116388812457917,3.520743429839082,-2.1118548,113.65561
CCCCCCCCCCCCCCCCCCCC(C)CCCCCCCCCCC,LMSD,-3.2927773735750696,0.31608076153214193,-4.8363304,-51.14736
