smiles,source,PCA1,PCA2,t-SNE1,t-SNE2,ML_t-SNE1,ML_t-SNE2
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2C3=C[C@H](O)[C@@]4(O)C[C@@H](O)CC[C@]4(C)[C@@]3(O)CC[C@]12C,LMSD,-2.9391301270092125,-1.0627048718443772,20.806126,-85.918655,5.420245,35.657867
CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCC,LMSD,-3.813956427919988,3.605615708896989,-92.13999,-20.389769,61.343525,61.005566
COc1c(-c2ccc(O)c(O)c2)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(OC)c2c1=O,LMSD,-3.106416683356766,-1.7546144633844154,-63.131046,-21.120464,-5.206235,14.822411
CCCCC/C=C\CCCCCCCC(=O)O[C@H](CO/C=C\CCCCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,LMSD,-3.711638881245792,3.520743429839082,-2.1118548,113.65561,16.21589,57.356804
COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)ccc1O,LMSD,-3.076177827658533,-1.6169806726202682,-66.77442,-20.487179,-9.1870575,21.882181
CCCCCCCCCCCCCCCCCCCC[C@H](C)C[C@H](C)/C=C(\C)C(=O)OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](OC(=O)/C(C)=C/[C@@H](C)C[C@@H](C)CCCCCCCCCCCCCCCCCCCC)[C@H](O)[C@H]2OC(=O)/C(C)=C/[C@@H](C)C[C@@H](C)CCCCCCCCCCCCCCCCCCC)[C@H](OC(=O)CCCCCCCCCCCCCCC)[C@@H](OC(=O)/C(C)=C/[C@@H](C)C[C@@H](C)CCCCCCCCCCCCCCCCCC)[C@@H]1O,LMSD,-2.60074343802609,1.8456851004497847,-98.49685,47.30217,-13.688012,91.54127
C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](OC[C@H]3O[C@@H](Oc4c(-c5cc(O)c(O)c(O)c5)oc5cc(O)cc(O)c5c4=O)[C@H](O)[C@@H](O)[C@@H]3O)O[C@H](CO)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O,LMSD,-2.9880199361123583,-1.28773327258261,-69.67538,-21.054123,-14.73769,24.964876
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCC/C=C\CCCCCCCCC)COC(=O)CCCCCCCCCCCCC,LMSD,-3.745648394738895,3.732044770507111,-74.805405,9.280949,64.212265,63.347824
CCCCCCC/C=C\CCCCCCCC(=O)O[C@H](CO/C=C\CCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,LMSD,-3.711638881245792,3.520743429839082,-2.1118548,113.65561,16.072954,57.000313
CCCCCCCCCCCCCCCCCCCC(C)CCCCCCCCCCC,LMSD,-3.2927773735750696,0.3160807615321419,-4.8363304,-51.14736,58.94826,26.623869
CCCCCCCCCCCC(=O)CC,LMSD,-3.408269149106798,0.5855678197219657,-20.62614,-34.808826,52.886436,15.092179
C=C(CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@H]4O[C@]45C[C@@H](O)CC[C@]5(COC(C)=O)[C@H]3CC[C@]12C)C(C)C,LMSD,-2.751142347411436,-0.5948305748977875,25.08744,-80.412895,4.7256956,33.254547
CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O[C@H](CO/C=C\CCCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,LMSD,-3.476475590113242,3.842930968393509,-48.82728,42.75834,35.953655,59.44964
CCCCCCCC/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCCCCCC,LMSD,-3.717018716232936,4.193563248011781,13.743928,97.74192,15.636965,61.57901
CC[C@H](O)/C=C/[C@@H]1[C@H](C/C=C\C/C=C\CCCCCC(=O)O)[C@@H](O)C[C@H]1O,LMSD,-2.7683346137032387,1.1472905984542507,-66.06691,-61.46161,84.96902,-12.372117
