SMILES,PAMPA,cluster,LogP,Num_Atoms,MolWt,MaxAbsPartialCharge,MinAbsPartialCharge,MaxPartialCharge,MinPartialCharge,NumRotatableBonds,NumAliphaticRings,NumAromaticRings,TPSA,Nchiral,NumHDonors,NumHAcceptors,t-SNE1,t-SNE2
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-5.13,1,3.3899000000000044,53,730.441783576,0.3425042720982086,0.0016796718443239,0.2456430078281074,-0.3425042720982086,10,2,2,139.44,4,2,6,-5.575744,-42.983704
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N1C,-5.63,1,3.575900000000007,63,861.4788973560001,0.350975416880636,0.0016798283944581,0.2456756645195106,-0.350975416880636,8,3,3,159.75,6,2,7,-19.41934,-81.9222
CCCN1CC(=O)N[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-5.75,1,3.0387000000000066,59,813.4788973560001,0.3427476915803283,0.0016798273859772,0.2456756638215009,-0.3427476915803283,10,3,2,168.54,5,3,7,-3.5763311,-52.5162
CC(C)C[C@H]1C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@H](C)C(=O)N1C,-5.26,1,2.647000000000008,58,799.463247292,0.342792016949041,0.0016798273817139,0.245675543015445,-0.342792016949041,8,3,2,168.54,6,3,7,-46.28266,-65.24242
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-4.78,1,3.567400000000011,59,821.5414976120001,0.3421802064923643,0.0016798283944608,0.245675664833509,-0.3421802064923643,10,3,1,150.96,6,1,7,5.8412337,-15.050355
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N1C,-6.09,1,3.233700000000007,62,847.463247292,0.3509754168838875,0.0016798283901974,0.2456755440274461,-0.3509754168838875,8,3,3,168.54000000000002,6,3,7,-19.593529,-80.5593
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](C)C(=O)N(C)[C@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N1C,-5.0,1,2.998200000000004,52,716.426133512,0.3427880378163161,0.0016716812945856,0.2456432076104891,-0.3427880378163161,8,2,2,139.44000000000003,5,2,6,-28.056057,-60.21182
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccccc2)CC(=O)N[C@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N1C,-5.84,1,4.104200000000008,63,869.5414976120001,0.350724028607205,0.0016798283901875,0.2456755427603623,-0.350724028607205,10,3,2,168.54000000000002,7,3,7,-38.394665,-43.6936
CC(C)C[C@H]1C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N1C,-5.22,1,2.998200000000004,52,716.426133512,0.3427877912724462,0.0016716812946001,0.2455553613115759,-0.3427877912724462,8,2,2,139.44,5,2,6,-30.040466,-57.71176
CCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-4.89,1,3.2342000000000075,51,710.473083704,0.3424960796265532,0.0016796728528047,0.2454611993698888,-0.3424960796265532,10,2,1,139.44,5,2,6,-3.9808617,-27.039839
CCCCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(CC)CC(=O)N[C@H](Cc2ccccc2)C1=O,-5.34,1,3.133900000000007,50,696.45743364,0.3425066894449847,0.0016794722507609,0.2454611605473196,-0.3425066894449847,12,2,1,139.44,4,2,6,8.20901,-34.516212
