model_size,model_type,run_count,mean_rmse,median_rmse,mean_r2,median_r2,mean_mae,mean_spearman,best_rmse,best_rmse_file,best_rmse_experiment,best_r2,best_r2_file,best_r2_experiment
small,MTR_only,3,0.674452894631807,0.6518350079069513,0.2397642064929422,0.2920826283606145,0.5139434462372109,0.5128982685270996,0.644270785610635,triplicate/MLM-MTR_small/MTR_only_span_masking_round3.csv,MTR_only_span_masking_round3,0.3084173576835093,triplicate/MLM-MTR_small/MTR_only_span_masking_round3.csv,MTR_only_span_masking_round3
small,MLM_only,3,0.6750943746646936,0.6434286282136196,0.23656375526517656,0.3102241780308138,0.5163300097930943,0.5165355059732388,0.6367430436799713,triplicate/MLM-MTR_small/MLM_only_round3.csv,MLM_only_round3,0.3244840230110434,triplicate/MLM-MTR_small/MLM_only_round3.csv,MLM_only_round3
small,MLM-MTR,3,0.6780158192243388,0.666261403227233,0.23214741667976582,0.2604006558040369,0.5266338865022745,0.5355902914770891,0.6435100033759837,triplicate/MLM-MTR_small/MLM-MTR_span_masking_round1.csv,MLM-MTR_span_masking_round1,0.3100496935068172,triplicate/MLM-MTR_small/MLM-MTR_span_masking_round1.csv,MLM-MTR_span_masking_round1

base,MTR_only,3,0.5465017113859179,0.5381599097198747,0.5020025134371601,0.5174638100765878,0.41217317513907686,0.6624729642329634,0.5334835040383914,MTR_only/MLM-MTR_medium/MTR_only_study_2.csv,MTR_only_study_2,0.5258134872731428,MTR_only/MLM-MTR_medium/MTR_only_study_2.csv,MTR_only_study_2
base,hybrid,3,0.5504734258965119,0.5602243960399242,0.49452700245286224,0.4770848298038433,0.4191750598123392,0.6540589593226096,0.5238910642844056,ensemble/hybrid_base/span_mask_25p_round2.csv,span_mask_25p_round2,0.5427126484471807,ensemble/hybrid_base/span_mask_25p_round2.csv,span_mask_25p_round2
base,MLM_only,3,0.5526002600348962,0.5759932047829354,0.48864659162657764,0.4472332303720849,0.42024823045514736,0.654127380003755,0.4972335474821517,MLM_only/MLM-MTR_medium/MLM_only_study_1.csv,MLM_only_study_1,0.5880656090452663,MLM_only/MLM-MTR_medium/MLM_only_study_1.csv,MLM_only_study_1

large,Hybrid,3,0.48167253286220557,0.4902745285412475,0.612573866738456,0.5995153558164978,0.36083238841253545,0.7249966434132465,0.4503707928220847,ensemble/hybrid_large/span_mask_25p_round1.csv,span_mask_25p_round1,0.6620537408925363,ensemble/hybrid_large/span_mask_25p_round1.csv,span_mask_25p_round1
large,MLM_only,3,0.5002639432442141,0.499349320134499,0.5823553336729702,0.5845525162351619,0.37433380479238126,0.7101722600575214,0.4761026154179872,MLM_only/MLM-MTR_large/MLM_only_study_1.csv,MLM_only_study_1,0.6223336060379379,MLM_only/MLM-MTR_large/MLM_only_study_1.csv,MLM_only_study_1
large,MTR_only,3,0.5010942891044906,0.5026260904470732,0.581513706838609,0.5790822272357279,0.3739011228176478,0.7121673466457873,0.4895838288878799,MTR_only/MLM-MTR_large/MTR_only_study_2.csv,MTR_only_study_2,0.6006429679653817,MTR_only/MLM-MTR_large/MTR_only_study_2.csv,MTR_only_study_2

small,random_init,3,0.8045719519898951,0.7976122525252946,-0.07889098071299556,-0.0599633294097987,0.6220333266494251,0.352405669645303,0.7913775673250544,triplicate/MLM-MTR_small/random_init_round3.csv,random_init_round3,-0.0434572909755872,triplicate/MLM-MTR_small/random_init_round3.csv,random_init_round3
small,random_init,1,0.8529046418286543,0.8529046418286543,-0.2120154699127023,-0.2120154699127023,0.6389891870319623,0.3422444063477484,0.8529046418286543,ensemble/MLM-MTR_small/random_init.csv,random_init,-0.2120154699127023,ensemble/MLM-MTR_small/random_init.csv,random_init
base,random_init,1,0.8631161351143961,0.8631161351143961,-0.2412111774836671,-0.2412111774836671,0.6554369783735936,0.2386139961417062,0.8631161351143961,ensemble/MLM-MTR_medium/random_init.csv,random_init,-0.2412111774836671,ensemble/MLM-MTR_medium/random_init.csv,random_init
