SMILES,value,fold,prediction_2,prediction_3,prediction_4,prediction_5,prediction_6,prediction_1,mean_prediction,std_prediction
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-5.13,1,-5.6692352294921875,-6.321042060852051,-6.083069324493408,-6.674836158752441,-6.884032249450684,,-6.326443004608154,0.48048557050591995
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N1C,-5.63,1,-5.462841033935547,-5.482830047607422,-5.446411609649658,-5.724829196929932,-5.931467056274414,,-5.609675788879395,0.21278827899767058
CCCN1CC(=O)N[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-5.75,1,-5.96233606338501,-7.071605205535889,-6.158886432647705,-6.777131080627441,-7.128817558288574,,-6.619755268096924,0.5321372054838793
CC(C)C[C@H]1NC(=O)[C@@H]2CCCN2C(=O)CN(Cc2ccccc2)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,-5.26,1,-6.344343662261963,-6.006349086761475,-6.060085296630859,-6.610980987548828,-6.705134391784668,,-6.345378684997558,0.31476308903855166
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-4.78,1,-5.731418132781982,-5.930856227874756,-5.771735191345215,-6.078004360198975,-6.178433418273926,,-5.93808946609497,0.19221114523953237
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N1C,-6.09,1,-5.505366325378418,-5.653371334075928,-5.572754859924316,-5.890542030334473,-6.099174976348877,,-5.7442419052124025,0.24602236770181718
CC(C)C[C@@H]1C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](C)C(=O)N1C,-5.0,1,-5.345890045166016,-5.37518310546875,-5.386239051818848,-5.410000801086426,-5.711658000946045,,-5.445794200897216,0.15039806394875677
CC(C)C[C@H]1NC(=O)C[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C1=O,-5.84,1,-5.859358787536621,-5.671807765960693,-5.664182662963867,-5.778175354003906,-5.908644676208496,,-5.776433849334717,0.10943745602032492
CC(C)C[C@H]1C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N1C,-5.22,1,-5.178457260131836,-5.184455394744873,-5.307939052581787,-5.440706729888916,-5.21027946472168,,-5.264367580413818,0.11145182101804335
CCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-4.89,1,-5.689389705657959,-6.220648288726807,-6.092987537384033,-6.56624174118042,-6.466255187988281,,-6.2071044921875,0.3454610545118923
