SMILES,value,fold,prediction_2,prediction_3,prediction_4,prediction_5,prediction_6,prediction_1,mean_prediction,std_prediction
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-5.13,1,-6.092159271240234,-6.635554313659668,-6.393336296081543,-6.451011657714844,-6.50874662399292,,-6.416161632537841,0.20212507237980548
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N1C,-5.63,1,-5.811071872711182,-5.7384114265441895,-5.837857246398926,-6.193594932556152,-6.199001312255859,,-5.955987358093262,0.2223778589145994
CCCN1CC(=O)N[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-5.75,1,-6.393434524536133,-7.1235527992248535,-6.577969074249268,-6.490860939025879,-6.716349124908447,,-6.660433292388916,0.2848024448067822
CC(C)C[C@H]1NC(=O)[C@@H]2CCCN2C(=O)CN(Cc2ccccc2)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,-5.26,1,-6.262850761413574,-6.277576923370361,-6.190484523773193,-6.2398905754089355,-6.435201644897461,,-6.281200885772705,0.09219828368151392
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-4.78,1,-5.848698616027832,-6.0588555335998535,-5.829239368438721,-5.696636199951172,-5.663741588592529,,-5.819434261322021,0.156200720564235
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N1C,-6.09,1,-5.927474021911621,-6.0618205070495605,-6.158960819244385,-6.330379962921143,-6.521000385284424,,-6.199927139282226,0.23188809310894246
CC(C)C[C@@H]1C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](C)C(=O)N1C,-5.0,1,-5.664277076721191,-5.560382843017578,-5.853044509887695,-5.850140571594238,-6.153704643249512,,-5.816309928894043,0.22635248867989466
CC(C)C[C@H]1NC(=O)C[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C1=O,-5.84,1,-5.826051712036133,-5.986506938934326,-5.631625652313232,-5.65504264831543,-5.718307971954346,,-5.763506984710693,0.14563736759387927
CC(C)C[C@H]1C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N1C,-5.22,1,-5.224802494049072,-5.102280616760254,-5.0296759605407715,-5.068297863006592,-5.294858932495117,,-5.143983173370361,0.11161178883073704
CCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-4.89,1,-5.7538580894470215,-6.102502822875977,-5.999301433563232,-5.780607223510742,-5.703769207000732,,-5.868007755279541,0.17311070633282158
