SMILES,value,fold,prediction_2,prediction_3,prediction_4,prediction_5,prediction_6,prediction_1,mean_prediction,std_prediction
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-5.13,1,-6.17841100692749,-6.6118292808532715,-5.802917003631592,-6.901697158813477,-5.598502159118652,,-6.2186713218688965,0.5431804053822932
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N1C,-5.63,1,-6.136186122894287,-5.39647102355957,-6.073253154754639,-5.574131488800049,-5.881305694580078,,-5.812269496917724,0.31913889146689617
CCCN1CC(=O)N[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-5.75,1,-6.515242099761963,-6.534488677978516,-6.445812702178955,-7.171270370483398,-6.32623291015625,,-6.598609352111817,0.330355090751274
CC(C)C[C@H]1NC(=O)[C@@H]2CCCN2C(=O)CN(Cc2ccccc2)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,-5.26,1,-6.311797142028809,-6.006214618682861,-5.850635051727295,-6.616318702697754,-6.580380439758301,,-6.273069190979004,0.3403756196743007
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-4.78,1,-6.349501132965088,-5.909795761108398,-5.515735149383545,-5.936196327209473,-5.216301918029785,,-5.785506057739258,0.43388236545550335
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N1C,-6.09,1,-6.063775539398193,-5.654493808746338,-6.402939796447754,-5.778723239898682,-5.703677654266357,,-5.920722007751465,0.31270899573274624
CC(C)C[C@@H]1C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](C)C(=O)N1C,-5.0,1,-5.464203834533691,-5.489366054534912,-5.509002208709717,-5.414732456207275,-5.188139915466309,,-5.4130888938903805,0.1306091981291106
CC(C)C[C@H]1NC(=O)C[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C1=O,-5.84,1,-5.97982931137085,-5.588054180145264,-5.584194183349609,-5.884537696838379,-5.752263069152832,,-5.757775688171387,0.17631132726557688
CC(C)C[C@H]1C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N1C,-5.22,1,-5.452761173248291,-5.32088041305542,-5.620301723480225,-5.505953311920166,-5.146001815795898,,-5.4091796875,0.1822747571538767
CCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-4.89,1,-6.006301403045654,-5.742484092712402,-5.644219875335693,-6.164971828460693,-5.708468437194824,,-5.8532891273498535,0.22221588760769506
CCCCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(CC)CC(=O)N[C@H](Cc2ccccc2)C1=O,-5.34,1,-7.620242595672607,-7.389827728271484,-5.74357795715332,-6.72061824798584,-5.856677532196045,,-6.666188812255859,0.8578102599635717
CCCCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(Cc2ccc3c(c2)OCO3)CC(=O)N[C@H](C)C1=O,-5.31,1,-8.344204902648926,-6.693135738372803,-6.4276652336120605,-6.731456756591797,-7.4507598876953125,,-7.12944450378418,0.7778399790961789
CC(C)C[C@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc2ccccc2)NC1=O,-5.12,1,-5.794267654418945,-5.2061238288879395,-5.343507289886475,-5.885224342346191,-5.67805290222168,,-5.581435203552246,0.29342324070403353
CC(C)C[C@@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](C)C(=O)N[C@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N1C,-5.6,1,-5.990398406982422,-6.051177501678467,-6.277062892913818,-5.949918270111084,-5.792137145996094,,-6.012138843536377,0.17638988209901033
CC(C)C[C@@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N1C,-5.73,1,-5.931568622589111,-5.433202743530273,-6.181839466094971,-5.697576522827148,-5.5483903884887695,,-5.758515548706055,0.30118311475604753
CC(=O)N1CCC[C@H]1C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H]1C(=O)N[C@H](Cc2ccccc2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](Cc2cccc3ccccc23)C(=O)N(C)[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)O[C@@H]1C,-5.99,1,-6.360342502593994,-6.593935489654541,-6.924885272979736,-7.362730026245117,-6.298240661621094,,-6.708026790618897,0.44087690706290555
CC(C)C[C@@H]1C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N[C@H](C)C(=O)N1C,-6.03,1,-6.266608715057373,-5.822246074676514,-6.183133602142334,-6.0876970291137695,-5.954787254333496,,-6.062894535064697,0.17760273768099755
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-4.93,1,-6.148880958557129,-5.906223773956299,-6.095788478851318,-6.484546661376953,-5.074275970458984,,-5.941943168640137,0.5279754778055528
CCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C1=O,-5.38,1,-6.531898021697998,-5.688721656799316,-6.446467876434326,-6.496397018432617,-5.609466552734375,,-6.154590225219726,0.46329768016749207
CC(C)C[C@@H]1C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](C)C(=O)N1C,-5.33,1,-5.731769561767578,-5.668463230133057,-6.304561138153076,-5.979485511779785,-5.460110664367676,,-5.828878021240234,0.3240792208413022
CC(C)C[C@H]1NC(=O)[C@@H]2CCCN2C(=O)CN(Cc2ccccc2)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,-6.04,1,-6.4575724601745605,-5.9643940925598145,-5.835766315460205,-6.581295013427734,-6.462271690368652,,-6.260259914398193,0.3356098677154108
CC(C)C[C@@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N1C,-5.63,1,-6.031404972076416,-5.468629360198975,-6.104231357574463,-5.536186218261719,-5.28572940826416,,-5.685236263275146,0.3619840664931108
CC(C)C[C@H]1NC(=O)C[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H]2CCCN2C(=O)C[C@H](Cc2ccccc2)NC1=O,-5.75,1,-5.994616985321045,-5.750185489654541,-5.816238880157471,-5.97606897354126,-5.700716495513916,,-5.847565364837647,0.13244445599136773
C[C@H]1C(=O)N(Cc2ccccc2)CC(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N1C,-5.71,1,-6.149872303009033,-6.354676723480225,-6.1997294425964355,-6.580558776855469,-6.1970624923706055,,-6.296379947662354,0.17665353663974426
CCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C1=O,-6.07,1,-6.368730545043945,-6.157851219177246,-6.0159220695495605,-5.975589752197266,-5.588069915771484,,-6.0212327003479,0.28686270723678653
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C1=O,-5.2,1,-6.4329094886779785,-5.778491497039795,-5.942852973937988,-6.420095443725586,-5.223305702209473,,-5.959531021118164,0.502814067936513
C[C@@H]1C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N1C,-7.79,1,-6.147758960723877,-5.466476917266846,-6.221794128417969,-6.093514442443848,-5.601626396179199,,-5.906234169006348,0.34610639604790605
CC(C)C[C@@H]1C(=O)N2CCC[C@@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@H](C)C(=O)N(Cc2ccccc2)CC(=O)N1C,-6.15,1,-5.985837459564209,-6.16257905960083,-6.4895172119140625,-5.921601295471191,-5.6202192306518555,,-6.03595085144043,0.32022535032942334
CCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C1=O,-5.88,1,-6.433455944061279,-6.197239875793457,-5.830174446105957,-6.458347320556641,-5.128373622894287,,-6.009518241882324,0.5533963691798406
CC(C)C[C@@H]1C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccccc2)CC(=O)N[C@H](CC(C)C)C(=O)N1C,-5.56,1,-5.925059795379639,-6.357242584228516,-6.501265048980713,-6.196895599365234,-5.9004364013671875,,-6.176179885864258,0.26362329842544374
CC(C)C[C@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2ccccc2)C(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C1=O,-5.57,1,-6.79983377456665,-6.1186652183532715,-6.173807621002197,-6.404964447021484,-6.1850996017456055,,-6.336474132537842,0.2811620736715485
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C1=O,-5.29,1,-6.437404155731201,-5.904308795928955,-5.620995044708252,-6.165369987487793,-5.639793872833252,,-5.953574371337891,0.3501581606752908
CC(C)C[C@@H]1C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc2ccccc2)CC(=O)N1C,-5.46,1,-5.610584735870361,-5.550246238708496,-6.108591556549072,-6.18572473526001,-5.817534446716309,,-5.854536342620849,0.28622709393883894
CCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-6.26,1,-6.623929023742676,-6.687955379486084,-5.956811428070068,-6.744685649871826,-6.132015705108643,,-6.42907943725586,0.35912196038358907
CCCN1CC(=O)N[C@@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-5.2,1,-5.986608028411865,-6.020118713378906,-5.137243747711182,-5.929471015930176,-5.037084579467773,,-5.62210521697998,0.49068588932188206
CC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CC(C)C)C(=O)N(C)[C@H](C)C(=O)N1C,-5.38,1,-7.033445358276367,-6.301401615142822,-6.6804375648498535,-6.503889560699463,-6.149986267089844,,-6.53383207321167,0.3440075142938612
