SMILES,value,fold,prediction_2,prediction_3,prediction_4,prediction_5,prediction_6,prediction_1,mean_prediction,std_prediction
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-5.13,1,-5.38762903213501,-6.712643623352051,-5.922240257263184,-5.419571399688721,-5.603762626647949,,-5.8091693878173825,0.5478881083645231
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N1C,-5.63,1,-5.3957953453063965,-5.712707042694092,-5.506152153015137,-5.600114822387695,-5.726033687591553,,-5.588160610198974,0.13999418264063573
CCCN1CC(=O)N[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-5.75,1,-5.861252307891846,-6.914114475250244,-6.668973922729492,-5.858924388885498,-6.36727237701416,,-6.334107494354248,0.4740871605701965
CC(C)C[C@H]1NC(=O)[C@@H]2CCCN2C(=O)CN(Cc2ccccc2)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,-5.26,1,-6.284989356994629,-6.456326007843018,-6.254921913146973,-5.794677257537842,-6.143286228179932,,-6.186840152740478,0.2462619028668751
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-4.78,1,-5.672573566436768,-6.376011371612549,-6.229159355163574,-5.612513065338135,-5.933768272399902,,-5.9648051261901855,0.3352036700272581
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N1C,-6.09,1,-5.47361421585083,-5.723247528076172,-6.092138290405273,-5.646938800811768,-5.787004470825195,,-5.7445886611938475,0.22694048498231004
CC(C)C[C@@H]1C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](C)C(=O)N1C,-5.0,1,-5.594786167144775,-6.004632949829102,-5.277509689331055,-6.123870372772217,-5.2491559982299805,,-5.649991035461426,0.403977465810214
CC(C)C[C@H]1NC(=O)C[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C1=O,-5.84,1,-5.830727577209473,-5.796143054962158,-4.91306734085083,-5.749212265014648,-5.940941333770752,,-5.646018314361572,0.4157825928058345
CC(C)C[C@H]1C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N1C,-5.22,1,-5.274794578552246,-5.355802536010742,-4.734072208404541,-4.90671968460083,-5.435895919799805,,-5.141456985473633,0.3047462763590675
CCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-4.89,1,-5.506180286407471,-6.2153801918029785,-6.161828994750977,-5.369570255279541,-5.676662445068359,,-5.785924434661865,0.38382361156495826
