SMILES,value,fold,prediction_2,prediction_3,prediction_4,prediction_5,prediction_6,prediction_1,mean_prediction,std_prediction
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-5.13,1,-5.65925931930542,-5.393230438232422,-5.811223030090332,-6.933352947235107,-5.10370397567749,,-5.7801539421081545,0.698702922995885
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N1C,-5.63,1,-6.069766998291016,-5.484078407287598,-5.525284767150879,-5.804893493652344,-5.149254322052002,,-5.606655597686768,0.3480778430850822
CCCN1CC(=O)N[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-5.75,1,-5.914031028747559,-5.367044925689697,-5.656802177429199,-7.433251857757568,-5.786810398101807,,-6.031588077545166,0.8093947115651821
CC(C)C[C@H]1NC(=O)[C@@H]2CCCN2C(=O)CN(Cc2ccccc2)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,-5.26,1,-6.2358174324035645,-6.334994316101074,-6.144486427307129,-6.794206619262695,-5.962719440460205,,-6.294444847106933,0.3111962946367481
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-4.78,1,-5.519428730010986,-4.922860145568848,-5.450675010681152,-6.090884685516357,-5.120138645172119,,-5.420797443389892,0.44664722581012056
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N1C,-6.09,1,-6.064930438995361,-5.849941253662109,-6.021535873413086,-5.8677544593811035,-5.4624762535095215,,-5.853327655792237,0.23772576710468046
CC(C)C[C@@H]1C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](C)C(=O)N1C,-5.0,1,-5.760478973388672,-5.034939765930176,-5.484739303588867,-5.975526809692383,-5.579287052154541,,-5.566994380950928,0.35154450419763045
CC(C)C[C@H]1NC(=O)C[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C1=O,-5.84,1,-5.4860053062438965,-5.349489688873291,-5.301276206970215,-5.548049449920654,-4.868489742279053,,-5.310662078857422,0.2665567784058491
CC(C)C[C@H]1C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N1C,-5.22,1,-5.437168121337891,-4.928091049194336,-5.220033645629883,-5.57574987411499,-4.332995414733887,,-5.098807621002197,0.49301875552511354
CCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-4.89,1,-5.5182414054870605,-4.81943416595459,-5.0807061195373535,-5.452103614807129,-5.402458667755127,,-5.254588794708252,0.29579766662974133
CCCCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(CC)CC(=O)N[C@H](Cc2ccccc2)C1=O,-5.34,1,-6.2018723487854,-6.227518081665039,-5.701858997344971,-6.397558212280273,-4.739986419677734,,-5.853758811950684,0.6745663995283311
CCCCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(Cc2ccc3c(c2)OCO3)CC(=O)N[C@H](C)C1=O,-5.31,1,-6.660912036895752,-5.534728050231934,-5.481903076171875,-5.890345573425293,-6.013007640838623,,-5.916179275512695,0.4740176296707136
CC(C)C[C@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc2ccccc2)NC1=O,-5.12,1,-5.546943664550781,-5.645270347595215,-5.490505218505859,-6.172955513000488,-5.051109313964844,,-5.581356811523437,0.4014581699841452
CC(C)C[C@@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](C)C(=O)N[C@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N1C,-5.6,1,-6.001999855041504,-5.579124450683594,-5.486044883728027,-5.763564109802246,-6.0121893882751465,,-5.768584537506103,0.23956993703745325
CC(C)C[C@@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N1C,-5.73,1,-5.940807819366455,-5.6227569580078125,-5.868614196777344,-5.906992435455322,-5.2287068367004395,,-5.713575649261474,0.2985076479771423
CC(=O)N1CCC[C@H]1C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H]1C(=O)N[C@H](Cc2ccccc2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](Cc2cccc3ccccc23)C(=O)N(C)[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)O[C@@H]1C,-5.99,1,-6.754441738128662,-6.054355621337891,-6.32798957824707,-5.676834583282471,-5.307244777679443,,-6.024173259735107,0.561502000313407
CC(C)C[C@@H]1C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N[C@H](C)C(=O)N1C,-6.03,1,-6.440620422363281,-5.334512710571289,-5.679715633392334,-6.5040602684021,-5.781101226806641,,-5.948002052307129,0.5069704771369444
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-4.93,1,-5.430858612060547,-5.0569562911987305,-5.42288875579834,-5.84946346282959,-5.413308143615723,,-5.434695053100586,0.28077166558674954
CCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C1=O,-5.38,1,-5.907597064971924,-5.367502212524414,-5.888655185699463,-6.489213466644287,-5.087762355804443,,-5.748146057128906,0.5420665812356298
CC(C)C[C@@H]1C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](C)C(=O)N1C,-5.33,1,-5.308247089385986,-5.181933403015137,-5.98327112197876,-5.734376430511475,-5.497935771942139,,-5.541152763366699,0.32324732742061607
CC(C)C[C@H]1NC(=O)[C@@H]2CCCN2C(=O)CN(Cc2ccccc2)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,-6.04,1,-6.258362293243408,-6.167117118835449,-6.009139060974121,-6.737412452697754,-5.6622772216796875,,-6.166861629486084,0.39159370265292043
CC(C)C[C@@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N1C,-5.63,1,-6.360290050506592,-5.234403610229492,-5.507744789123535,-5.751658916473389,-5.331550121307373,,-5.637129497528076,0.4495512961356405
CC(C)C[C@H]1NC(=O)C[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H]2CCCN2C(=O)C[C@H](Cc2ccccc2)NC1=O,-5.75,1,-5.799821376800537,-5.445067405700684,-5.662590026855469,-6.100296497344971,-4.653914928436279,,-5.532338047027588,0.5455119273113374
