SMILES,value,fold,prediction_2,prediction_3,prediction_4,prediction_5,prediction_6,prediction_1,mean_prediction,std_prediction
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-5.13,1,-6.405862808227539,-6.652016639709473,-6.293521404266357,-7.299158573150635,-7.118572235107422,,-6.753826332092285,0.43981566618537377
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N1C,-5.63,1,-6.3669257164001465,-5.369098663330078,-5.534189224243164,-6.625997543334961,-6.037048816680908,,-5.986651992797851,0.5343232517344625
CCCN1CC(=O)N[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-5.75,1,-6.708249568939209,-6.585520267486572,-6.435675144195557,-7.525173664093018,-7.086663722991943,,-6.86825647354126,0.4392921863885277
CC(C)C[C@H]1NC(=O)[C@@H]2CCCN2C(=O)CN(Cc2ccccc2)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,-5.26,1,-6.402525901794434,-6.253106117248535,-6.148478031158447,-7.102983474731445,-6.199404716491699,,-6.421299648284912,0.39274780464236037
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-4.78,1,-6.406076908111572,-5.832099437713623,-5.766214847564697,-6.770794868469238,-5.790340423583984,,-6.113105297088623,0.4532831283289338
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N1C,-6.09,1,-6.425290584564209,-6.060342788696289,-5.939130783081055,-6.889322757720947,-6.503691673278809,,-6.3635557174682615,0.3781384884028672
CC(C)C[C@@H]1C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](C)C(=O)N1C,-5.0,1,-5.950053691864014,-5.117073059082031,-4.908361911773682,-5.786932945251465,-5.345027923583984,,-5.421489906311035,0.4400979097216426
CC(C)C[C@H]1NC(=O)C[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C1=O,-5.84,1,-5.938971042633057,-5.5017476081848145,-5.4702863693237305,-6.6896467208862305,-6.171201705932617,,-5.95437068939209,0.5067269886047336
CC(C)C[C@H]1C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N1C,-5.22,1,-5.725462436676025,-4.618725299835205,-4.923452854156494,-5.6868696212768555,-5.25691032409668,,-5.242284107208252,0.4800548035855986
CCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-4.89,1,-6.080389976501465,-5.319631576538086,-5.665157794952393,-5.877840518951416,-4.991724967956543,,-5.58694896697998,0.4358809303883538
