SMILES,value,fold,prediction_2,prediction_3,prediction_4,prediction_5,prediction_6,prediction_1,mean_prediction,std_prediction
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-5.13,1,-5.5092926025390625,-5.470274448394775,-5.705907821655273,-6.505709648132324,-5.873629093170166,,-5.8129627227783205,0.41972915620210044
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N1C,-5.63,1,-5.8872480392456055,-5.407704830169678,-5.378119945526123,-6.159398555755615,-5.732132434844971,,-5.712920761108398,0.3299052364076981
CCCN1CC(=O)N[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-5.75,1,-6.211658477783203,-5.675976753234863,-5.745143413543701,-7.970910549163818,-7.092667102813721,,-6.539271259307862,0.9796791043654296
CC(C)C[C@H]1NC(=O)[C@@H]2CCCN2C(=O)CN(Cc2ccccc2)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,-5.26,1,-5.847250938415527,-5.706096172332764,-5.782454013824463,-6.046339511871338,-6.051015853881836,,-5.886631298065185,0.15614548236285866
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-4.78,1,-6.007605075836182,-5.797056674957275,-5.962161064147949,-6.374661922454834,-5.94172477722168,,-6.016641902923584,0.21509207824040824
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N1C,-6.09,1,-5.858423233032227,-5.478869915008545,-5.393824100494385,-6.631520748138428,-6.0650858879089355,,-5.885544776916504,0.4991553879425824
CC(C)C[C@@H]1C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](C)C(=O)N1C,-5.0,1,-5.35137939453125,-5.495047092437744,-5.389389991760254,-5.470358371734619,-5.397933483123779,,-5.420821666717529,0.05978575765291351
CC(C)C[C@H]1NC(=O)C[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C1=O,-5.84,1,-5.56737756729126,-5.818575859069824,-6.162252426147461,-5.539790630340576,-5.739886283874512,,-5.765576553344727,0.25054080781185334
CC(C)C[C@H]1C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N1C,-5.22,1,-5.393994331359863,-5.506694793701172,-5.432086944580078,-5.47279691696167,-5.403296947479248,,-5.441773986816406,0.047524599367997106
CCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-4.89,1,-5.582180976867676,-5.768910884857178,-6.02385950088501,-5.952168941497803,-5.766525745391846,,-5.818729209899902,0.17395885434200353
