SMILES,value,fold,prediction_2,prediction_3,prediction_4,prediction_5,prediction_6,prediction_1,mean_prediction,std_prediction
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-5.13,1,-5.747260093688965,-6.319621562957764,-6.38403844833374,-6.83985710144043,-5.775092601776123,,-6.213173961639404,0.458870497133675
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N1C,-5.63,1,-5.72606086730957,-5.856734752655029,-5.760653495788574,-5.962865352630615,-5.5135393142700195,,-5.763970756530762,0.16757706475459067
CCCN1CC(=O)N[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-5.75,1,-6.068210124969482,-6.537006378173828,-6.613234996795654,-7.929296493530273,-6.136214256286621,,-6.656792449951172,0.7504903904518537
CC(C)C[C@H]1NC(=O)[C@@H]2CCCN2C(=O)CN(Cc2ccccc2)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,-5.26,1,-6.382897853851318,-6.3019118309021,-6.24546480178833,-6.582794666290283,-6.567249774932861,,-6.4160637855529785,0.15320823330845967
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-4.78,1,-5.787672996520996,-5.810109615325928,-6.03722620010376,-6.086100101470947,-5.629669189453125,,-5.870155620574951,0.18893598581559168
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N1C,-6.09,1,-5.731459140777588,-6.007975101470947,-5.88817024230957,-6.3502397537231445,-5.637317180633545,,-5.923032283782959,0.2780603602969139
CC(C)C[C@@H]1C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](C)C(=O)N1C,-5.0,1,-5.460170269012451,-5.712730884552002,-5.578263759613037,-6.04166316986084,-5.464286804199219,,-5.65142297744751,0.2413482360740584
CC(C)C[C@H]1NC(=O)C[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C1=O,-5.84,1,-5.769531726837158,-5.978490352630615,-5.788059711456299,-6.22178316116333,-5.4096808433532715,,-5.833509159088135,0.2989838843962201
CC(C)C[C@H]1C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N1C,-5.22,1,-5.264976978302002,-5.405462741851807,-5.282965183258057,-5.618238925933838,-4.901270389556885,,-5.294582843780518,0.261129170749507
CCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-4.89,1,-5.592194080352783,-5.9611687660217285,-6.024899005889893,-6.140749454498291,-5.4128007888793945,,-5.826362419128418,0.30915075948210297
CCCCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(CC)CC(=O)N[C@H](Cc2ccccc2)C1=O,-5.34,1,-6.590975761413574,-7.864717960357666,-7.909121990203857,-8.933579444885254,-6.651054382324219,,-7.589889907836914,0.9826218459721973
CCCCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(Cc2ccc3c(c2)OCO3)CC(=O)N[C@H](C)C1=O,-5.31,1,-6.186039924621582,-6.340126037597656,-6.652991771697998,-6.495241641998291,-6.234790325164795,,-6.381837940216064,0.19240877496121125
