SMILES,value,fold,prediction_2,prediction_3,prediction_4,prediction_5,prediction_6,prediction_1,mean_prediction,std_prediction
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-5.13,1,-5.778338432312012,-5.842229843139648,-6.042912483215332,-6.0059027671813965,-6.005208969116211,,-5.93491849899292,0.11699436028535873
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N1C,-5.63,1,-5.560304641723633,-5.618464469909668,-5.919448375701904,-6.154051780700684,-5.6145806312561035,,-5.773369979858399,0.255374305569901
CCCN1CC(=O)N[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-5.75,1,-6.210695743560791,-6.2527079582214355,-6.4733099937438965,-6.768078327178955,-6.18966817855835,,-6.378892040252685,0.24515240284687162
CC(C)C[C@H]1NC(=O)[C@@H]2CCCN2C(=O)CN(Cc2ccccc2)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,-5.26,1,-6.537686347961426,-6.483850479125977,-6.340038776397705,-6.301762580871582,-6.558896064758301,,-6.444446849822998,0.11683826344271911
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-4.78,1,-5.788724422454834,-5.546941757202148,-5.85329532623291,-5.590638637542725,-5.695549011230469,,-5.695029830932617,0.1290876755057493
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N1C,-6.09,1,-5.7324066162109375,-5.96551513671875,-6.349035263061523,-6.552712440490723,-5.927119255065918,,-6.10535774230957,0.3353812812442512
CC(C)C[C@@H]1C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](C)C(=O)N1C,-5.0,1,-5.759555816650391,-5.553889274597168,-5.542558193206787,-5.574372291564941,-5.468220233917236,,-5.579719161987304,0.10822423830615718
CC(C)C[C@H]1NC(=O)C[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C1=O,-5.84,1,-5.790458679199219,-5.68354606628418,-5.790419101715088,-5.447434425354004,-5.448639392852783,,-5.632099533081055,0.17360031380644228
CC(C)C[C@H]1C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N1C,-5.22,1,-5.165271282196045,-5.0292158126831055,-5.252286911010742,-4.854867935180664,-4.84395694732666,,-5.029119777679443,0.18233882551628902
CCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-4.89,1,-5.646358966827393,-5.647787570953369,-5.705006122589111,-5.400759696960449,-5.445782661437988,,-5.569139003753662,0.13617706483287284
CCCCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(CC)CC(=O)N[C@H](Cc2ccccc2)C1=O,-5.34,1,-5.631220817565918,-6.2964677810668945,-6.236094951629639,-6.323735237121582,-5.968080520629883,,-6.091119861602783,0.29323253051859455
CCCCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(Cc2ccc3c(c2)OCO3)CC(=O)N[C@H](C)C1=O,-5.31,1,-5.6012773513793945,-6.876504421234131,-7.37848424911499,-7.996127128601074,-7.957350254058838,,-7.1619486808776855,0.986480919944543
CC(C)C[C@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc2ccccc2)NC1=O,-5.12,1,-5.737813949584961,-5.51692008972168,-5.585763931274414,-5.095208168029785,-5.273941516876221,,-5.441929531097412,0.2560738097649899
CC(C)C[C@@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](C)C(=O)N[C@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N1C,-5.6,1,-6.011594772338867,-5.861562728881836,-6.068705081939697,-6.293670654296875,-6.14545202255249,,-6.0761970520019535,0.15999101182206907
CC(C)C[C@@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N1C,-5.73,1,-5.6009602546691895,-5.809808254241943,-6.068269729614258,-6.22602653503418,-5.647143363952637,,-5.870441627502442,0.27006263866504987
CC(=O)N1CCC[C@H]1C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H]1C(=O)N[C@H](Cc2ccccc2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](Cc2cccc3ccccc23)C(=O)N(C)[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)O[C@@H]1C,-5.99,1,-5.906800746917725,-5.84420919418335,-6.246208667755127,-6.148370265960693,-6.229556560516357,,-6.075029087066651,0.18717552911433274
CC(C)C[C@@H]1C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N[C@H](C)C(=O)N1C,-6.03,1,-5.894274711608887,-6.251087188720703,-6.258803367614746,-6.453283309936523,-6.36332368850708,,-6.244154453277588,0.21249392488656843
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-4.93,1,-6.097762107849121,-6.223785877227783,-6.367365837097168,-6.276632308959961,-5.9269843101501465,,-6.178506088256836,0.17112116646166056
CCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C1=O,-5.38,1,-5.740696907043457,-5.888373374938965,-6.228513717651367,-5.939365386962891,-5.7662272453308105,,-5.912635326385498,0.19498746289129334
CC(C)C[C@@H]1C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](C)C(=O)N1C,-5.33,1,-5.684104919433594,-5.803289413452148,-5.98708438873291,-5.803277015686035,-5.951028347015381,,-5.8457568168640135,0.12328313695949053
CC(C)C[C@H]1NC(=O)[C@@H]2CCCN2C(=O)CN(Cc2ccccc2)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,-6.04,1,-6.421367645263672,-6.426206111907959,-6.267353057861328,-6.234668254852295,-6.468706130981445,,-6.36366024017334,0.10510801050694858
CC(C)C[C@@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N1C,-5.63,1,-5.683621883392334,-5.7114644050598145,-5.7924089431762695,-5.677654266357422,-5.605678081512451,,-5.694165515899658,0.06738849709252308
CC(C)C[C@H]1NC(=O)C[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H]2CCCN2C(=O)C[C@H](Cc2ccccc2)NC1=O,-5.75,1,-5.820266246795654,-5.607306003570557,-6.070779800415039,-5.694995880126953,-5.883516311645508,,-5.8153728485107425,0.17866352067255692
C[C@H]1C(=O)N(Cc2ccccc2)CC(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N1C,-5.71,1,-5.595632553100586,-5.382436752319336,-6.033019065856934,-5.8791093826293945,-5.643335819244385,,-5.706706714630127,0.2538241412351057
CCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C1=O,-6.07,1,-5.538235187530518,-5.0693769454956055,-5.803218841552734,-5.385941982269287,-5.332395076751709,,-5.425833606719971,0.270387306818227
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C1=O,-5.2,1,-5.906808376312256,-6.002397537231445,-6.1746110916137695,-6.015642166137695,-5.7706451416015625,,-5.974020862579346,0.14887344520743692
C[C@@H]1C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N1C,-7.79,1,-5.844551086425781,-5.85302734375,-6.3250203132629395,-6.303180694580078,-5.887858867645264,,-6.042727661132813,0.24837946395212696
CC(C)C[C@@H]1C(=O)N2CCC[C@@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@H](C)C(=O)N(Cc2ccccc2)CC(=O)N1C,-6.15,1,-5.543302059173584,-5.873396873474121,-6.225804805755615,-5.994987487792969,-5.580301761627197,,-5.843558597564697,0.2869631272898076
CCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C1=O,-5.88,1,-5.546994686126709,-5.417206764221191,-5.915618896484375,-5.450270175933838,-5.598910808563232,,-5.585800266265869,0.19827396609589001
CC(C)C[C@@H]1C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccccc2)CC(=O)N[C@H](CC(C)C)C(=O)N1C,-5.56,1,-5.519505977630615,-5.458316326141357,-6.053810119628906,-5.6154985427856445,-5.463696002960205,,-5.622165393829346,0.2494291666848227
