SMILES,value,fold,prediction_2,prediction_3,prediction_4,prediction_5,prediction_6,prediction_1,mean_prediction,std_prediction
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-5.13,1,-5.479905605316162,-6.217416286468506,-5.756017684936523,-6.514423847198486,-5.992003917694092,,-5.9919534683227536,0.4005207515240648
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N1C,-5.63,1,-5.8726654052734375,-6.105909824371338,-5.472851276397705,-6.521389007568359,-5.273437023162842,,-5.8492505073547365,0.49785288378386533
CCCN1CC(=O)N[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-5.75,1,-5.932131767272949,-6.516956806182861,-6.023684978485107,-6.720717430114746,-6.19970178604126,,-6.278638553619385,0.33298971991710075
CC(C)C[C@H]1NC(=O)[C@@H]2CCCN2C(=O)CN(Cc2ccccc2)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,-5.26,1,-6.422815799713135,-6.36244535446167,-6.211493492126465,-6.762027740478516,-6.107703685760498,,-6.373297214508057,0.2502007404353393
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-4.78,1,-6.068373203277588,-5.854607105255127,-6.53345251083374,-6.213976860046387,-6.245979309082031,,-6.183277797698975,0.24936104926812797
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N1C,-6.09,1,-5.7551493644714355,-6.753849983215332,-6.023036479949951,-6.798590183258057,-5.539437770843506,,-6.174012756347656,0.576028202691538
CC(C)C[C@@H]1C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](C)C(=O)N1C,-5.0,1,-5.263926029205322,-6.030595302581787,-5.228086948394775,-5.288675308227539,-5.617477893829346,,-5.485752296447754,0.34228759766117417
CC(C)C[C@H]1NC(=O)C[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C1=O,-5.84,1,-5.636229038238525,-5.850152015686035,-5.464309215545654,-5.721025466918945,-5.164071559906006,,-5.567157459259033,0.265324409574125
CC(C)C[C@H]1C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N1C,-5.22,1,-5.247349262237549,-5.092075824737549,-5.533273220062256,-5.307313919067383,-5.218552112579346,,-5.279712867736817,0.16205737498167652
CCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-4.89,1,-5.424835681915283,-6.1565680503845215,-5.997869968414307,-5.782299995422363,-5.618027210235596,,-5.795920181274414,0.29171292664698123
CCCCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(CC)CC(=O)N[C@H](Cc2ccccc2)C1=O,-5.34,1,-6.221128940582275,-7.493262767791748,-6.404541969299316,-6.599541187286377,-6.058632850646973,,-6.555421543121338,0.5618736291578357
CCCCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(Cc2ccc3c(c2)OCO3)CC(=O)N[C@H](C)C1=O,-5.31,1,-7.318110466003418,-7.171522617340088,-6.432442665100098,-7.846166610717773,-6.59881591796875,,-7.073411655426026,0.5706872721214525
CC(C)C[C@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc2ccccc2)NC1=O,-5.12,1,-5.703267574310303,-5.62550163269043,-5.69500207901001,-5.662651062011719,-5.561669826507568,,-5.649618434906006,0.0579317109806539
CC(C)C[C@@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](C)C(=O)N[C@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N1C,-5.6,1,-5.826974391937256,-6.838423252105713,-5.486166477203369,-5.8118438720703125,-5.870543956756592,,-5.966790390014649,0.5107747802357303
CC(C)C[C@@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N1C,-5.73,1,-5.723433494567871,-6.173130989074707,-5.395938873291016,-6.7413649559021,-5.447779655456543,,-5.896329593658447,0.563955839831045
CC(=O)N1CCC[C@H]1C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H]1C(=O)N[C@H](Cc2ccccc2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](Cc2cccc3ccccc23)C(=O)N(C)[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)O[C@@H]1C,-5.99,1,-5.808041095733643,-6.265537738800049,-5.836426258087158,-5.672024726867676,-5.488837718963623,,-5.8141735076904295,0.2873639294595327
CC(C)C[C@@H]1C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N[C@H](C)C(=O)N1C,-6.03,1,-5.980320453643799,-5.625683784484863,-5.103987216949463,-5.16778564453125,-5.511245250701904,,-5.477804470062256,0.3575471654576614
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-4.93,1,-5.790499210357666,-6.910925388336182,-6.248054027557373,-7.032336711883545,-6.064425945281982,,-6.40924825668335,0.5402905597222251
CCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C1=O,-5.38,1,-6.027989864349365,-6.886669158935547,-6.512754917144775,-6.598396301269531,-5.629393100738525,,-6.331040668487549,0.4993423728164264
CC(C)C[C@@H]1C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](C)C(=O)N1C,-5.33,1,-5.684084892272949,-5.725438594818115,-5.8516058921813965,-5.378875732421875,-4.951693058013916,,-5.51833963394165,0.3612362076862883
CC(C)C[C@H]1NC(=O)[C@@H]2CCCN2C(=O)CN(Cc2ccccc2)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,-6.04,1,-6.483735084533691,-6.345026969909668,-6.230412006378174,-6.458773612976074,-5.994141578674316,,-6.302417850494384,0.19959816020720844
CC(C)C[C@@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N1C,-5.63,1,-5.868671894073486,-5.6433868408203125,-5.317760944366455,-5.577239036560059,-5.427389621734619,,-5.566889667510987,0.21127992255553066
CC(C)C[C@H]1NC(=O)C[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H]2CCCN2C(=O)C[C@H](Cc2ccccc2)NC1=O,-5.75,1,-5.764991760253906,-5.890873432159424,-5.470883846282959,-5.8906049728393555,-5.54162073135376,,-5.7117949485778805,0.19613098445142807
C[C@H]1C(=O)N(Cc2ccccc2)CC(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N1C,-5.71,1,-5.482146739959717,-6.484612941741943,-6.306274890899658,-7.314064025878906,-4.7343902587890625,,-6.064297771453857,0.9880140782298044
CCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C1=O,-6.07,1,-5.6489176750183105,-6.463726997375488,-6.0540995597839355,-6.2197465896606445,-5.3868088722229,,-5.954659938812256,0.4345231888195794
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C1=O,-5.2,1,-5.992480754852295,-6.584484577178955,-6.208523273468018,-6.793645858764648,-5.718280792236328,,-6.259483051300049,0.435242147310787
C[C@@H]1C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N1C,-7.79,1,-5.628201961517334,-6.199102878570557,-6.134504318237305,-7.683122634887695,-5.561397075653076,,-6.241265773773193,0.8558907071940034
CC(C)C[C@@H]1C(=O)N2CCC[C@@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@H](C)C(=O)N(Cc2ccccc2)CC(=O)N1C,-6.15,1,-5.7601494789123535,-6.024669170379639,-6.091043949127197,-6.303432464599609,-5.66360330581665,,-5.96857967376709,0.2582264766796182
CCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C1=O,-5.88,1,-5.580426216125488,-7.042488098144531,-6.330329418182373,-6.2362799644470215,-5.595386028289795,,-6.156981945037842,0.6058599573679042
CC(C)C[C@@H]1C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccccc2)CC(=O)N[C@H](CC(C)C)C(=O)N1C,-5.56,1,-5.568430423736572,-6.821517467498779,-6.1039533615112305,-6.284430027008057,-5.591691493988037,,-6.0740045547485355,0.5225376674602433
CC(C)C[C@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2ccccc2)C(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C1=O,-5.57,1,-6.518388271331787,-5.950932025909424,-5.878843307495117,-6.1777849197387695,-5.559361934661865,,-6.017062091827393,0.35711581367192974
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C1=O,-5.29,1,-6.078166484832764,-5.925003528594971,-6.326413631439209,-6.844462871551514,-5.992565631866455,,-6.233322429656982,0.37391722319820786
CC(C)C[C@@H]1C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc2ccccc2)CC(=O)N1C,-5.46,1,-5.1645989418029785,-6.014720439910889,-5.822112560272217,-6.730396747589111,-5.1352996826171875,,-5.773425674438476,0.6622427771129655
CCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-6.26,1,-6.087697982788086,-7.447883129119873,-6.6593756675720215,-7.007671356201172,-6.087591648101807,,-6.658043956756591,0.5909309131715921
CCCN1CC(=O)N[C@@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-5.2,1,-5.444843769073486,-6.455477714538574,-6.4426774978637695,-5.622541904449463,-5.901772975921631,,-5.973462772369385,0.4637412522617216
CC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CC(C)C)C(=O)N(C)[C@H](C)C(=O)N1C,-5.38,1,-6.914088249206543,-6.992667198181152,-6.070425987243652,-6.2967071533203125,-5.450700283050537,,-6.3449177742004395,0.6365589667180924
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N1C,-5.89,1,-5.766307353973389,-6.395303249359131,-5.7237420082092285,-6.611018180847168,-5.380844593048096,,-5.9754430770874025,0.5101168524852813
CC(C)C[C@@H]1C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc2ccccc2)CC(=O)N1C,-5.32,1,-5.041329860687256,-5.630237579345703,-6.146352291107178,-5.660062789916992,-5.019186019897461,,-5.499433708190918,0.47484523392798444
CCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C1=O,-6.77,1,-6.181673526763916,-7.244826316833496,-6.740903377532959,-6.783510208129883,-5.72105073928833,,-6.534392833709717,0.5906263787161998
CC(C)C[C@H]1NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2ccccc2)C(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C1=O,-4.98,1,-5.948789119720459,-5.216994762420654,-5.395885944366455,-5.576651096343994,-5.011205673217773,,-5.4299053192138675,0.3579707872683008
CCCCCN1CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@H]2C(=O)N(CCCOC(C)C)CC(=O)N[C@@H](Cc2ccccc2)C1=O,-4.92,1,-5.868691921234131,-7.582595348358154,-5.718245983123779,-6.45438289642334,-7.04638147354126,,-6.534059524536133,0.786847396293204
CC(C)C[C@@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](C)C(=O)N[C@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N1C,-5.69,1,-4.999719142913818,-6.644092559814453,-6.448860168457031,-6.175870895385742,-5.8569016456604,,-6.025088882446289,0.6452040220416991
CCCN1CC(=O)N[C@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-5.43,1,-5.576726913452148,-6.390171527862549,-5.926407337188721,-6.365106105804443,-5.49315881729126,,-5.950314140319824,0.42268689259737074
CCCN1CC(=O)N[C@@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-5.21,1,-5.4386725425720215,-6.55728006362915,-6.562723636627197,-5.9208478927612305,-5.726368427276611,,-6.041178512573242,0.5037282052810564
CCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C1=O,-5.74,1,-5.966202259063721,-6.652982711791992,-6.295535564422607,-7.138228416442871,-5.800079822540283,,-6.370605754852295,0.539365102860665
