SMILES,value,fold,prediction_2,prediction_3,prediction_4,prediction_5,prediction_6,prediction_1,mean_prediction,std_prediction
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-5.13,1,-6.358532428741455,-6.37385368347168,-6.654153823852539,-6.453237533569336,-6.549243927001953,,-6.477804279327392,0.12433604750049854
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N1C,-5.63,1,-5.719704627990723,-5.419807434082031,-5.909091949462891,-5.655078411102295,-5.935128211975098,,-5.727762126922608,0.20980058177320796
CCCN1CC(=O)N[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-5.75,1,-6.809003829956055,-6.829865455627441,-7.12989616394043,-6.877669334411621,-6.891229152679443,,-6.907532787322998,0.12878594200805735
CC(C)C[C@H]1NC(=O)[C@@H]2CCCN2C(=O)CN(Cc2ccccc2)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,-5.26,1,-6.742613792419434,-5.9704508781433105,-6.226314544677734,-6.055305004119873,-6.381778240203857,,-6.275292491912841,0.3055528416177423
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-4.78,1,-6.005507469177246,-5.829421043395996,-6.001245498657227,-5.729372978210449,-6.080289840698242,,-5.929167366027832,0.14467912529509017
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N1C,-6.09,1,-5.792986869812012,-5.667963027954102,-6.24949836730957,-5.875962734222412,-6.144583225250244,,-5.946198844909668,0.24350007856561978
CC(C)C[C@@H]1C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](C)C(=O)N1C,-5.0,1,-5.715681076049805,-5.14491605758667,-5.653772830963135,-5.619265556335449,-5.96364164352417,,-5.619455432891845,0.29752683096198146
CC(C)C[C@H]1NC(=O)C[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C1=O,-5.84,1,-6.024147987365723,-5.315907001495361,-5.654393196105957,-5.665091514587402,-5.756628513336182,,-5.683233642578125,0.2538203926723777
CC(C)C[C@H]1C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N1C,-5.22,1,-5.467990875244141,-5.094465255737305,-5.436651229858398,-5.283994197845459,-5.418038845062256,,-5.340228080749512,0.15430237046828882
CCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-4.89,1,-5.925731658935547,-5.694164276123047,-5.9946112632751465,-5.796699523925781,-6.119040012359619,,-5.906049346923828,0.16616881251808496
CCCCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(CC)CC(=O)N[C@H](Cc2ccccc2)C1=O,-5.34,1,-7.307918548583984,-7.495917320251465,-7.0947394371032715,-6.700150489807129,-7.062709331512451,,-7.13228702545166,0.2983564502141308
CCCCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(Cc2ccc3c(c2)OCO3)CC(=O)N[C@H](C)C1=O,-5.31,1,-6.173922538757324,-6.101540565490723,-6.4787774085998535,-6.30092716217041,-6.608959674835205,,-6.332825469970703,0.21054240553555817
CC(C)C[C@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc2ccccc2)NC1=O,-5.12,1,-6.092454433441162,-5.417910575866699,-5.8229804039001465,-5.536594390869141,-5.677795886993408,,-5.709547138214111,0.2624203601896983
