SMILES,value,fold,prediction_2,prediction_3,prediction_4,prediction_5,prediction_6,prediction_1,mean_prediction,std_prediction
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-5.13,1,-6.135693073272705,-6.267397880554199,-6.2559123039245605,-6.201538562774658,-6.4741082191467285,,-6.266930007934571,0.12702715657198513
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N1C,-5.63,1,-6.13819694519043,-5.5092597007751465,-5.567252159118652,-5.458749294281006,-5.455629348754883,,-5.625817489624024,0.2900103910865681
CCCN1CC(=O)N[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-5.75,1,-6.630598068237305,-6.854562759399414,-6.653536796569824,-6.713879108428955,-6.890305042266846,,-6.748576354980469,0.11776611508151967
CC(C)C[C@H]1NC(=O)[C@@H]2CCCN2C(=O)CN(Cc2ccccc2)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,-5.26,1,-6.209405899047852,-6.1421918869018555,-6.169602394104004,-6.2320475578308105,-6.5162177085876465,,-6.253893089294434,0.15070884441525523
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-4.78,1,-6.3259782791137695,-5.855358123779297,-5.424805164337158,-5.505662441253662,-5.916686058044434,,-5.805698013305664,0.36075501885921785
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N1C,-6.09,1,-6.179128646850586,-5.716516017913818,-5.886249542236328,-5.706026554107666,-5.959469318389893,,-5.889478015899658,0.1951774737627381
CC(C)C[C@@H]1C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](C)C(=O)N1C,-5.0,1,-5.703275203704834,-5.437451362609863,-6.087674140930176,-5.421642780303955,-6.004706859588623,,-5.73095006942749,0.3101504600795057
CC(C)C[C@H]1NC(=O)C[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C1=O,-5.84,1,-5.772404193878174,-5.8646745681762695,-5.268324375152588,-5.3636322021484375,-5.7533416748046875,,-5.604475402832032,0.2688251346900796
CC(C)C[C@H]1C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N1C,-5.22,1,-5.5386176109313965,-5.337404251098633,-5.105532169342041,-5.004552364349365,-5.563545227050781,,-5.309930324554443,0.2512008732029432
CCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-4.89,1,-5.936483383178711,-5.97197151184082,-5.882227897644043,-5.852334499359131,-6.387157917022705,,-6.006035041809082,0.21806218665723845
CCCCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(CC)CC(=O)N[C@H](Cc2ccccc2)C1=O,-5.34,1,-6.991791248321533,-7.855589866638184,-6.782468318939209,-6.226701259613037,-6.520406723022461,,-6.875391483306885,0.6184225248175844
CCCCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(Cc2ccc3c(c2)OCO3)CC(=O)N[C@H](C)C1=O,-5.31,1,-6.971571922302246,-7.207184791564941,-6.761368751525879,-6.316218376159668,-6.667100429534912,,-6.78468885421753,0.3343888275019349
CC(C)C[C@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc2ccccc2)NC1=O,-5.12,1,-5.697449207305908,-5.713841915130615,-5.602832317352295,-4.999424457550049,-5.379833221435547,,-5.478676223754883,0.29917864680963024
CC(C)C[C@@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](C)C(=O)N[C@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N1C,-5.6,1,-6.128772735595703,-6.096627712249756,-6.368018627166748,-5.993628978729248,-6.306422233581543,,-6.178694057464599,0.1546240492520862
CC(C)C[C@@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N1C,-5.73,1,-6.088420867919922,-5.481502056121826,-5.693604469299316,-5.6060614585876465,-5.648934841156006,,-5.703704738616944,0.2291377857845263
CC(=O)N1CCC[C@H]1C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H]1C(=O)N[C@H](Cc2ccccc2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](Cc2cccc3ccccc23)C(=O)N(C)[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)O[C@@H]1C,-5.99,1,-5.696289539337158,-5.736177921295166,-5.680421829223633,-5.784329414367676,-5.926647186279297,,-5.764773178100586,0.09900566707035595
CC(C)C[C@@H]1C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N[C@H](C)C(=O)N1C,-6.03,1,-6.1495585441589355,-5.701848983764648,-5.802270889282227,-5.689199924468994,-6.075737476348877,,-5.883723163604737,0.21511039415941513
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-4.93,1,-6.417362213134766,-6.2718505859375,-6.671766757965088,-6.709446907043457,-7.029990196228027,,-6.620083332061768,0.29199424646279115
CCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C1=O,-5.38,1,-6.448368072509766,-6.252469539642334,-5.77811336517334,-5.6942949295043945,-6.259416580200195,,-6.086532497406006,0.33065150169057134
