SMILES,value,fold,prediction_2,prediction_3,prediction_4,prediction_5,prediction_6,prediction_1,mean_prediction,std_prediction
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-5.13,1,-6.068300247192383,-5.554044723510742,-5.520493030548096,-6.572534084320068,-5.9320878982543945,,-5.929491996765137,0.43041212948143887
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N1C,-5.63,1,-7.205564975738525,-5.225694179534912,-6.0343708992004395,-5.645517826080322,-5.120928764343262,,-5.846415328979492,0.8418135729139927
CCCN1CC(=O)N[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-5.75,1,-6.801883220672607,-5.864994049072266,-5.843590259552002,-7.003757476806641,-6.765503406524658,,-6.455945682525635,0.5567314262430406
CC(C)C[C@H]1NC(=O)[C@@H]2CCCN2C(=O)CN(Cc2ccccc2)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,-5.26,1,-7.18747615814209,-6.17692756652832,-6.355445384979248,-6.7559590339660645,-6.255467891693115,,-6.546255207061767,0.42205111069843615
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-4.78,1,-6.104205131530762,-5.8662614822387695,-5.819551944732666,-6.053082466125488,-5.618793487548828,,-5.892378902435302,0.19463481918716122
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N1C,-6.09,1,-7.250285625457764,-5.581845283508301,-6.248729228973389,-6.138447284698486,-5.546511173248291,,-6.153163719177246,0.6905537422540433
CC(C)C[C@@H]1C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](C)C(=O)N1C,-5.0,1,-6.318998336791992,-5.037410259246826,-5.55770206451416,-6.086720943450928,-5.294101238250732,,-5.658986568450928,0.5358006142685344
CC(C)C[C@H]1NC(=O)C[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C1=O,-5.84,1,-6.526661396026611,-5.684622764587402,-5.823408603668213,-5.788539409637451,-5.163303375244141,,-5.797307109832763,0.4866657817414819
CC(C)C[C@H]1C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N1C,-5.22,1,-5.6540374755859375,-4.618171691894531,-4.917520999908447,-5.316853046417236,-4.2941389083862305,,-4.960144424438477,0.541076256399913
CCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-4.89,1,-5.304620265960693,-5.407665252685547,-5.241687774658203,-5.332696437835693,-5.729583740234375,,-5.403250694274902,0.19191221085261503
CCCCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(CC)CC(=O)N[C@H](Cc2ccccc2)C1=O,-5.34,1,-6.3316264152526855,-6.084348678588867,-5.7187819480896,-6.585034370422363,-5.849289417266846,,-6.113816165924073,0.3522721489801221
CCCCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(Cc2ccc3c(c2)OCO3)CC(=O)N[C@H](C)C1=O,-5.31,1,-5.970682621002197,-6.629417896270752,-5.981325626373291,-7.001182556152344,-6.956169128417969,,-6.50775556564331,0.5061922731932199
CC(C)C[C@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc2ccccc2)NC1=O,-5.12,1,-6.110394477844238,-5.790886402130127,-5.669014930725098,-5.976455211639404,-5.546672821044922,,-5.818684768676758,0.2275688776638885
CC(C)C[C@@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](C)C(=O)N[C@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N1C,-5.6,1,-6.818681240081787,-5.976414680480957,-5.885549545288086,-6.317267894744873,-5.819766998291016,,-6.163536071777344,0.41331488142259165
CC(C)C[C@@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N1C,-5.73,1,-7.3312859535217285,-5.443124771118164,-5.880903720855713,-5.672763347625732,-5.215768814086914,,-5.908769321441651,0.8332321750804434
