SMILES,value,fold,prediction_2,prediction_3,prediction_4,prediction_5,prediction_6,prediction_1,mean_prediction,std_prediction
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-5.13,1,-5.731782913208008,-5.527294158935547,-6.267910003662109,-5.907713890075684,-5.864490509033203,,-5.85983829498291,0.2719466943844057
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N1C,-5.63,1,-5.36313533782959,-4.658482074737549,-6.03953218460083,-5.959746837615967,-5.152417182922363,,-5.43466272354126,0.5763713003480188
CCCN1CC(=O)N[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-5.75,1,-6.091312885284424,-6.032027244567871,-6.764240741729736,-6.359904766082764,-6.121954441070557,,-6.273888015747071,0.3011473058279692
CC(C)C[C@H]1NC(=O)[C@@H]2CCCN2C(=O)CN(Cc2ccccc2)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,-5.26,1,-6.014468193054199,-6.444549560546875,-6.399237155914307,-6.021536350250244,-5.983021259307861,,-6.172562503814698,0.22863013277935537
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-4.78,1,-5.76062536239624,-5.429486274719238,-5.557473659515381,-6.0725884437561035,-6.118896961212158,,-5.787814140319824,0.3053305848566906
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N1C,-6.09,1,-5.482141017913818,-5.431807994842529,-6.161125659942627,-6.173318386077881,-5.680279731750488,,-5.785734558105469,0.3604488428595096
CC(C)C[C@@H]1C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](C)C(=O)N1C,-5.0,1,-5.892361640930176,-5.827885627746582,-5.864339351654053,-5.9225850105285645,-5.295369625091553,,-5.760508251190186,0.26235888687427783
CC(C)C[C@H]1NC(=O)C[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C1=O,-5.84,1,-5.478117942810059,-4.881289005279541,-5.766538619995117,-5.515733242034912,-4.974036693572998,,-5.323143100738525,0.3790837888562309
CC(C)C[C@H]1C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N1C,-5.22,1,-5.431563377380371,-4.900433540344238,-5.335461616516113,-5.365142345428467,-5.01868200302124,,-5.210256576538086,0.2352305967100402
CCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-4.89,1,-5.682711124420166,-5.502996444702148,-6.031018257141113,-5.896961688995361,-5.858857154846191,,-5.794508934020996,0.20497085287203407
CCCCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(CC)CC(=O)N[C@H](Cc2ccccc2)C1=O,-5.34,1,-6.66685676574707,-6.239218711853027,-6.823025226593018,-6.831191539764404,-5.729465961456299,,-6.457951641082763,0.4729597170125741
