result_family,model_bucket,model_size,parent_dir,experiment_group,run_count,mean_rmse,rmse_ci95_low,rmse_ci95_high,median_rmse,mean_r2,r2_ci95_low,r2_ci95_high,median_r2,mean_mae,mae_ci95_low,mae_ci95_high,mean_spearman,spearman_ci95_low,spearman_ci95_high,best_rmse,best_rmse_file,best_rmse_experiment,best_r2,best_r2_file,best_r2_experiment
Hybrid,Hybrid_base,base,Hybrid,Hybrid_base_study,3,0.5504734258965119,0.49261383476834525,0.6083330170246787,0.5602243960399242,0.49452700245286235,0.3895556928113587,0.599498312094366,0.47708482980384337,0.4191750598123392,0.3777245585584298,0.46062556106624863,0.6540589593226097,0.5824369652187584,0.725680953426461,0.5238910642844056,Hybrid/Hybrid_base_study_2.csv,Hybrid_base_study_2,0.5427126484471807,Hybrid/Hybrid_base_study_2.csv,Hybrid_base_study_2
Hybrid,Hybrid_large,large,Hybrid,Hybrid_large_study,3,0.4816725328622056,0.41209291193702,0.5512521537873912,0.49027452854124753,0.612573866738456,0.5022420941253787,0.7229056393515334,0.5995153558164978,0.3608323884125355,0.3069618992417924,0.4147028775832786,0.7249966434132465,0.6610541642788308,0.7889391225476623,0.4503707928220847,Hybrid/Hybrid_large_study_1.csv,Hybrid_large_study_1,0.6620537408925363,Hybrid/Hybrid_large_study_1.csv,Hybrid_large_study_1
Hybrid,Hybrid_random_masking,,Hybrid,Hybrid_random_masking,3,0.7189174454296073,0.5632528124623536,0.8745820783968611,0.7170316024830452,0.13451528857405173,-0.2392466304177778,0.5082772075658812,0.14338869527355136,0.5470376134427549,0.4602135388821934,0.6338616880033164,0.4257674572347235,0.27055057377099245,0.5809843406984545,0.6572182058288197,Hybrid/Hybrid_random_masking_round1.csv,Hybrid_random_masking_round1,0.28034163463547124,Hybrid/Hybrid_random_masking_round1.csv,Hybrid_random_masking_round1
Hybrid,Hybrid_small,small,Hybrid,Hybrid_small_study,3,0.6780158192243387,0.5745607036823485,0.781470934766329,0.666261403227233,0.23214741667976588,-0.0044072223891928886,0.46870205574872464,0.26040065580403693,0.5266338865022746,0.4346495341018354,0.6186182389027138,0.5355902914770891,0.48243341371034065,0.5887471692438376,0.6435100033759837,Hybrid/Hybrid_small_study_1.csv,Hybrid_small_study_1,0.3100496935068172,Hybrid/Hybrid_small_study_1.csv,Hybrid_small_study_1
Hybrid,Hybrid_small_15p_span_masking,small,Hybrid,Hybrid_small_15p_span_masking,3,0.6660477620762989,0.6047726807785877,0.7273228433740101,0.6744513781008927,0.26019907253372326,0.1253374679213071,0.39506067714613946,0.24210594595284818,0.5092531651534508,0.4947971984405557,0.5237091318663458,0.5111461270353335,0.4536916520443791,0.5686006020262878,0.6382774877309368,Hybrid/Hybrid_small_15p_span_masking_round1.csv,Hybrid_small_15p_span_masking_round1,0.3212243394442955,Hybrid/Hybrid_small_15p_span_masking_round1.csv,Hybrid_small_15p_span_masking_round1
Hybrid,Hybrid_small_deepchem_tokenizer,small,Hybrid,Hybrid_small_deepchem_tokenizer,3,0.6708631527737273,0.5609254824193097,0.7808008231281449,0.6720962534140534,0.2479733174595359,0.0025038039489312103,0.49344283097014063,0.24738970290498097,0.5170895215719368,0.41746413102729807,0.6167149121165755,0.5437941802450803,0.45986300528935387,0.6277253552008067,0.6260036206544849,Hybrid/Hybrid_small_deepchem_tokenizer_round3.csv,Hybrid_small_deepchem_tokenizer_round3,0.34707860892931897,Hybrid/Hybrid_small_deepchem_tokenizer_round3.csv,Hybrid_small_deepchem_tokenizer_round3
Hybrid,random_init,,Hybrid,random_init,3,0.8045719519898951,0.7605278222103018,0.8486160817694883,0.7976122525252946,-0.0788909807129956,-0.19762337926350992,0.039841417837518725,-0.05996332940979876,0.6220333266494252,0.5964098085819386,0.6476568447169119,0.352405669645303,0.2897381832926695,0.41507315599793654,0.7913775673250544,Hybrid/random_init_round3.csv,random_init_round3,-0.04345729097558726,Hybrid/random_init_round3.csv,random_init_round3
MLM,MLM_base,base,MLM,MLM_base_study,3,0.5526002600348962,0.43301251151513803,0.6721880085546543,0.5759932047829354,0.48864659162657764,0.2737732482543886,0.7035199349987666,0.44723323037208496,0.4202482304551474,0.32802869057835904,0.5124677703319358,0.654127380003755,0.5563594063610742,0.7518953536464359,0.49723354748215176,MLM/MLM_base_study_1.csv,MLM_base_study_1,0.5880656090452663,MLM/MLM_base_study_1.csv,MLM_base_study_1
MLM,MLM_large,large,MLM,MLM_large_study,3,0.5002639432442141,0.4390762070330668,0.5614516794553613,0.49934932013449906,0.5823553336729701,0.4802053244748693,0.6845053428710709,0.5845525162351619,0.3743338047923814,0.3284672539994368,0.4202003555853259,0.7101722600575214,0.6229960596212041,0.7973484604938388,0.4761026154179872,MLM/MLM_large_study_1.csv,MLM_large_study_1,0.6223336060379379,MLM/MLM_large_study_1.csv,MLM_large_study_1
MLM,MLM_small,small,MLM,MLM_small_study,3,0.6750943746646936,0.5242360720381144,0.8259526772912728,0.6434286282136196,0.2365637552651766,-0.11149997892750174,0.5846274894578549,0.3102241780308138,0.5163300097930943,0.3859335812860453,0.6467264383001432,0.5165355059732387,0.4651649155098653,0.5679060964366122,0.6367430436799713,MLM/MLM_small_study_3.csv,MLM_small_study_3,0.3244840230110434,MLM/MLM_small_study_3.csv,MLM_small_study_3
