task_id,model_family,model_variant,seed,split_id,metric_name,metric_value,metric_role
amp_hgt,chemeleon,CheMeleon,303,test,mcc,0.8069268796150967,primary
amp_hgt,chemeleon,CheMeleon,303,test,f1,0.9108358052695864,primary
amp_hgt,chemeleon,CheMeleon,303,test,accuracy,0.9007381507381508,secondary
amp_hgt,chemeleon,CheMeleon,303,test,precision,0.8599670510708401,secondary
amp_hgt,chemeleon,CheMeleon,303,test,recall,0.9681008902077152,secondary
amp_hgt,chemeleon,CheMeleon,303,test,auroc,0.9622601122562094,primary
amp_hgt,chemeleon,CheMeleon,101,test,mcc,0.8229519155556881,primary
amp_hgt,chemeleon,CheMeleon,101,test,f1,0.9179982440737487,primary
amp_hgt,chemeleon,CheMeleon,101,test,accuracy,0.9092851592851592,secondary
amp_hgt,chemeleon,CheMeleon,101,test,precision,0.871623874624875,secondary
amp_hgt,chemeleon,CheMeleon,101,test,recall,0.9695845697329376,secondary
amp_hgt,chemeleon,CheMeleon,101,test,auroc,0.9669699778779268,primary
amp_hgt,chemeleon,CheMeleon,202,test,mcc,0.8231579247409714,primary
amp_hgt,chemeleon,CheMeleon,202,test,f1,0.9181080127073772,primary
amp_hgt,chemeleon,CheMeleon,202,test,accuracy,0.90986790986791,secondary
amp_hgt,chemeleon,CheMeleon,202,test,precision,0.8757575757575757,secondary
amp_hgt,chemeleon,CheMeleon,202,test,recall,0.9647626112759644,secondary
amp_hgt,chemeleon,CheMeleon,202,test,auroc,0.9643863212250884,primary
amp_hgt,xgboost_morgan,xgboost-morgan,303,test,mcc,0.8300257185238668,primary
amp_hgt,xgboost_morgan,xgboost-morgan,303,test,f1,0.9204330641003609,primary
amp_hgt,xgboost_morgan,xgboost-morgan,303,test,accuracy,0.91006216006216,secondary
amp_hgt,xgboost_morgan,xgboost-morgan,303,test,precision,0.8575088056356068,secondary
amp_hgt,xgboost_morgan,xgboost-morgan,303,test,recall,0.9933234421364984,secondary
amp_hgt,xgboost_morgan,xgboost-morgan,303,test,auroc,0.9861731748079448,primary
amp_hgt,xgboost_morgan,xgboost-morgan,101,test,mcc,0.8391526800372716,primary
