task_id,model_family,model_variant,seed,split_id,metric_name,metric_value,metric_role
thpep,chemeleon,CheMeleon,303,test,mcc,0.5758048638090248,primary
thpep,chemeleon,CheMeleon,303,test,f1,0.6956521739130435,primary
thpep,chemeleon,CheMeleon,303,test,accuracy,0.8278688524590164,secondary
thpep,chemeleon,CheMeleon,303,test,precision,0.7058823529411765,secondary
thpep,chemeleon,CheMeleon,303,test,recall,0.6857142857142857,secondary
thpep,chemeleon,CheMeleon,303,test,auroc,0.8784893267651889,primary
thpep,chemeleon,CheMeleon,101,test,mcc,0.5549776477171912,primary
thpep,chemeleon,CheMeleon,101,test,f1,0.6557377049180327,primary
thpep,chemeleon,CheMeleon,101,test,accuracy,0.8278688524590164,secondary
thpep,chemeleon,CheMeleon,101,test,precision,0.7692307692307693,secondary
thpep,chemeleon,CheMeleon,101,test,recall,0.5714285714285714,secondary
thpep,chemeleon,CheMeleon,101,test,auroc,0.8443349753694581,primary
thpep,chemeleon,CheMeleon,202,test,mcc,0.6704514944258996,primary
thpep,chemeleon,CheMeleon,202,test,f1,0.7575757575757576,primary
thpep,chemeleon,CheMeleon,202,test,accuracy,0.8688524590163934,secondary
thpep,chemeleon,CheMeleon,202,test,precision,0.8064516129032258,secondary
thpep,chemeleon,CheMeleon,202,test,recall,0.7142857142857143,secondary
thpep,chemeleon,CheMeleon,202,test,auroc,0.941871921182266,primary
thpep,xgboost_morgan,xgboost-morgan,303,test,mcc,0.6105321435164079,primary
thpep,xgboost_morgan,xgboost-morgan,303,test,f1,0.7164179104477612,primary
thpep,xgboost_morgan,xgboost-morgan,303,test,accuracy,0.8442622950819673,secondary
thpep,xgboost_morgan,xgboost-morgan,303,test,precision,0.75,secondary
thpep,xgboost_morgan,xgboost-morgan,303,test,recall,0.6857142857142857,secondary
thpep,xgboost_morgan,xgboost-morgan,303,test,auroc,0.8942528735632184,primary
thpep,xgboost_morgan,xgboost-morgan,101,test,mcc,0.5520792844598499,primary
thpep,xgboost_morgan,xgboost-morgan,101,test,f1,0.6764705882352942,primary
thpep,xgboost_morgan,xgboost-morgan,101,test,accuracy,0.819672131147541,secondary
thpep,xgboost_morgan,xgboost-morgan,101,test,precision,0.696969696969697,secondary
thpep,xgboost_morgan,xgboost-morgan,101,test,recall,0.6571428571428571,secondary
thpep,xgboost_morgan,xgboost-morgan,101,test,auroc,0.90311986863711,primary
thpep,xgboost_morgan,xgboost-morgan,202,test,mcc,0.628825498334317,primary
thpep,xgboost_morgan,xgboost-morgan,202,test,f1,0.7272727272727273,primary
thpep,xgboost_morgan,xgboost-morgan,202,test,accuracy,0.8524590163934426,secondary
thpep,xgboost_morgan,xgboost-morgan,202,test,precision,0.7741935483870968,secondary
thpep,xgboost_morgan,xgboost-morgan,202,test,recall,0.6857142857142857,secondary
thpep,xgboost_morgan,xgboost-morgan,202,test,auroc,0.9116584564860428,primary
thpep,xgboost_rdkit,xgboost-rdkit,303,test,mcc,0.6299649598415872,primary
thpep,xgboost_rdkit,xgboost-rdkit,303,test,f1,0.7397260273972602,primary
thpep,xgboost_rdkit,xgboost-rdkit,303,test,accuracy,0.8442622950819673,secondary
thpep,xgboost_rdkit,xgboost-rdkit,303,test,precision,0.7105263157894737,secondary
thpep,xgboost_rdkit,xgboost-rdkit,303,test,recall,0.7714285714285715,secondary
thpep,xgboost_rdkit,xgboost-rdkit,303,test,auroc,0.9136288998357964,primary
