x,y,label,length,species,environment
23.690277,1.4350909,0,28,0,0
-18.514101,17.155058,0,16,0,0
24.478079,5.085113,0,30,0,0
24.485401,5.082987,0,29,0,0
-36.45304,15.138992,0,9,0,0
27.329502,20.523981,0,24,0,0
-17.630142,-5.381564,0,15,0,0
48.427715,-0.49174914,1,32,0,0
30.067205,-17.848326,1,36,0,0
33.602306,-18.19269,1,38,0,0
34.570366,-28.276707,1,38,0,0
28.91968,-18.725101,1,39,0,0
32.92881,15.679405,0,26,0,0
-17.841078,-5.5121255,1,15,0,0
27.39294,-31.046734,1,28,0,0
-32.3963,-20.259226,1,15,0,1
-27.206175,2.3422253,0,5,0,1
-1.3329191,-16.08965,1,18,0,1
-28.563593,1.7623547,1,4,0,1
-29.545816,27.739197,1,23,0,1
-10.699165,13.203894,1,13,0,1
25.654934,0.6714385,0,38,0,1
21.966639,-0.13922445,1,27,0,1
38.225964,-4.480916,1,76,0,1
-27.77755,7.1140876,0,5,0,1
23.137857,21.245369,1,32,0,1
-3.6400747,-21.59446,1,10,0,1
-4.593862,-44.42741,1,21,0,1
-1.6560966,2.6468003,1,12,0,1
11.788417,8.087285,0,21,1,0
44.593754,7.954198,0,39,1,0
41.209164,-2.1761513,0,39,1,0
26.973827,7.394672,0,22,1,0
17.882809,31.812012,0,22,1,0
15.104276,21.875397,0,17,1,0
-28.089514,2.302404,0,5,1,0
22.40342,29.730446,0,27,1,0
32.56313,0.035746723,0,50,1,0
0.44032177,37.29227,1,19,1,0
0.094210014,39.085155,1,19,1,0
-0.7206533,38.686142,1,19,1,0
-36.300842,19.752747,1,8,1,0
-1.6142746,2.674338,0,12,1,0
-36.820927,-6.8871565,1,8,1,1
-37.292633,-8.270441,1,8,1,1
-37.605885,-7.7006564,1,8,1,1
-20.9969,12.751944,0,23,1,1
-2.6197767,2.837199,1,15,1,1
-23.109764,2.7751117,0,6,1,1
-22.897306,2.7840264,1,6,1,1
-41.149235,2.9465797,0,2,1,1
-40.63779,2.8415732,0,2,1,1
37.34403,11.540106,0,24,1,1
-23.149649,13.804518,0,6,1,1
-36.050724,17.953571,1,8,1,1
-33.504772,13.631369,0,7,0,1
23.74875,21.50508,1,34,0,1
35.72299,6.9984803,1,36,0,1
-27.67222,22.911179,1,14,0,1
-2.8945348,-22.225056,0,11,1,1
-3.3840878,-20.549883,0,15,0,0
-24.594799,3.0428238,0,6,0,1
