SMILES,Atomistic_Length,Kmer_Length
*C(C)n1cccc1[N+](=O)[O-],21,11
B#C/C(C)=C/C=C(/N)C=C,23,13
B#C/C(N)=C(/C)c1cccc(/C(C=C)=C/c2ccccc2C)c1,45,28
B#C/C(N)=C(\N)N(C)c1ccc(NC(=O)OC(C)(C)C)cc1,45,22
B#C/C(NC)=C(/C)c1cccc(CCc2cccc3c2CCCC3)c1,43,28
B#C/C=C/c1cc(C)c(B2OC(C)(C)C(C)(C)O2)c(C)c1,45,24
B#CC(=O)[C@H](N)CCCCNOC,21,9
B#CC(C)(C)c1ccc(C(=O)CCCC(CCC)Cn2cc3c(O)c(C(=O)NCCOC)ccc3n2)cc1,65,32
B#CC(N)CN(C)Cc1ccccc1,23,11
B#CC1(C(=O)NCc2ccc(CN3Cc4ccc(OCC5CC5)cc4C(O)C3)cc2)CC1,56,33
B#CC1(N2C=C([C@@H](Nc3cc(C#N)c4ncc(C#N)c(NCC(C)(C)C)c4c3)c3ccccc3Cl)NN2)CCC1,72,42
B#CC1(NC(=O)/C(C)=C(/N=CC=C)C(C)NC(=C)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)CC1,72,38
B#CC1(c2ccc3c(c2)CCN(Cc2ccc(OC)cc2)C3=O)CC1,45,30
B#CC1=C(OC)OC(C)=C(C(C)=O)C1C,31,17
B#CC1=C(OC)OC(C)=C(C(C)=O)C1Cc1ccco1,38,21
B#CC1=C([B])C([B])CC(C2(c3ccc(-c4cccc5c4oc4ccccc45)cc3)c3ccccc3-c3c([B])c([B])c([B])c([B])c32)=C1[B],88,65
B#CC1C(COC(=O)c2ccccc2)OC(OC2C(COC(=O)c3ccccc3)OC(O)C(OC(=O)c3ccccc3)C2OC(=O)c2ccccc2)C(OC(=O)c2ccccc2)C1OC(=O)c1ccccc1,121,57
B#CC1CCCC2C=C(CC3CCCCC3)N=CN=C2S1,35,21
B#CC1CCCN(c2cc3c(c(C)n2)N=C(c2c(F)cccc2F)Nc2cn[nH]c2-3)C1,56,35
B#CC1CCN(C(=O)CC(C)CC)CC1,27,14
B#CC1CCN(C(=O)CN/C(=C/CC)c2c[nH]c3ncc(C4CC4)nc23)C1,50,34
B#CC1CCN(c2nc(-c3cnn(C4CC4)c3)cc3ncsc23)C1=O,46,33
B#CC1CN(C(=O)CNC(=O)c2c[nH]c(C)c2N=C(/C=C(\C)CC(C)C)c2cnn(C)c2)C1,64,35
B#CC1CN(C(=O)CNC(=O)c2c[nH]c3ncc(C4CC4)nc23)C1,45,28
B#CCC(/C=C(C(\C)=C(C)\C=C(C=C)\C(CC)=C(/C)OC)/n1nnc2ccccc21)CCC,65,35
B#CCC(=O)c1ccc(C)cc1,22,10
B#CCC(=O)c1ccc(F)cc1,22,10
B#CCC1(n2cc(C(C)C)cn2)CN(CCF)C1,33,22
B#CCC1C=CC=C(OC(=O)c2sc3ccccc3c2Cl)C=C1,40,20
B#CCC1OC(=O)C(CC#C)OC1=O,26,14
