SMILES,PAMPA,cluster,LogP,Num_Atoms,MolWt,MaxAbsPartialCharge,MinAbsPartialCharge,MaxPartialCharge,MinPartialCharge,NumRotatableBonds,NumAliphaticRings,NumAromaticRings,TPSA,Nchiral,NumHDonors,NumHAcceptors,t-SNE1,t-SNE2
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-5.13,1,3.3899000000000044,53,730.441783576,0.34250427209820866,0.0016796718443239547,0.24564300782810744,-0.34250427209820866,10,2,2,139.44,4,2,6,21.561836,-14.89931
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N1C,-5.63,1,3.575900000000007,63,861.4788973560001,0.350975416880636,0.0016798283944581883,0.2456756645195106,-0.350975416880636,8,3,3,159.75,6,2,7,9.355688,-47.880966
CCCN1CC(=O)N[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-5.75,1,3.0387000000000066,59,813.4788973560001,0.3427476915803283,0.001679827385977265,0.24567566382150094,-0.3427476915803283,10,3,2,168.54,5,3,7,30.828253,-23.327757
CC(C)C[C@H]1C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@H](C)C(=O)N1C,-5.26,1,2.6470000000000082,58,799.463247292,0.34279201694904105,0.0016798273817139374,0.24567554301544506,-0.34279201694904105,8,3,2,168.54,6,3,7,25.418943,-74.41759
CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-4.78,1,3.567400000000011,59,821.5414976120001,0.3421802064923643,0.0016798283944608233,0.24567566483350906,-0.3421802064923643,10,3,1,150.96,6,1,7,8.189784,16.706753
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N1C,-6.09,1,3.233700000000007,62,847.463247292,0.3509754168838875,0.0016798283901974958,0.24567554402744615,-0.3509754168838875,8,3,3,168.54000000000002,6,3,7,10.699405,-47.647507
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](C)C(=O)N(C)[C@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N1C,-5.0,1,2.998200000000004,52,716.426133512,0.3427880378163161,0.001671681294585621,0.24564320761048916,-0.3427880378163161,8,2,2,139.44000000000003,5,2,6,6.943188,-74.977646
CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccccc2)CC(=O)N[C@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N1C,-5.84,1,4.104200000000008,63,869.5414976120001,0.35072402860720503,0.0016798283901875912,0.24567554276036238,-0.35072402860720503,10,3,2,168.54000000000002,7,3,7,21.650545,-63.692566
CC(C)C[C@H]1C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N1C,-5.22,1,2.998200000000004,52,716.426133512,0.3427877912724462,0.0016716812946001446,0.24555536131157596,-0.3427877912724462,8,2,2,139.44,5,2,6,7.877051,-76.1748
CCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C1=O,-4.89,1,3.2342000000000075,51,710.473083704,0.3424960796265532,0.0016796728528047033,0.2454611993698888,-0.3424960796265532,10,2,1,139.44,5,2,6,20.357838,0.609048
