class,t-SNE1,t-SNE2
1,-14.020155,15.911898
1,3.4782248,16.053776
1,-25.424181,4.977291
1,-22.568424,3.0262783
1,-24.925634,4.9614697
1,-24.873405,4.9140973
1,-16.522593,18.682491
1,2.9191303,17.99551
1,-3.791205,17.48808
1,1.2226653,19.061731
1,-10.0771265,23.89762
1,10.19351,0.38008675
1,-4.165918,3.9998581
1,0.015986376,10.101447
1,-13.515267,20.185873
1,-18.579,18.560228
1,5.186125,13.579545
1,2.8327246,20.822914
1,-12.745282,-4.3101125
1,8.700458,18.180656
1,9.681246,17.15678
1,11.609414,18.466352
1,12.543994,16.6036
1,11.521287,15.42875
1,11.330309,17.36947
1,-8.246925,-3.3914294
1,11.83447,17.712343
1,13.666727,15.691592
1,11.544646,16.691355
1,13.329587,17.203024
1,-12.976612,-2.3835669
1,13.083529,17.74867
1,10.819577,18.485277
1,-0.29073778,6.174496
1,-11.409969,21.854094
1,-15.334682,18.821686
1,-9.919092,15.090005
1,-9.519892,12.969682
1,-0.6262675,21.690731
1,0.33807346,14.937281
1,-7.127734,-6.8194265
1,4.9683633,12.287072
1,-8.037474,-3.044216
1,13.403142,14.386791
1,-14.392019,15.76505
1,9.01784,13.527355
1,-9.398503,10.173461
1,2.825157,18.461727
1,-16.531757,0.7168554
1,3.2531855,11.916849
1,2.7460802,19.206133
1,3.3162653,17.777733
1,-14.947131,-2.4430041
1,5.1907134,14.440273
1,6.0496674,17.930117
1,5.5665174,19.028557
1,20.07953,7.811419
1,20.05231,7.8256106
1,13.948016,3.7694733
1,-8.992047,-0.8981555
1,-7.8899107,16.996643
1,-16.628942,21.604628
1,-10.076874,12.450978
1,-18.076462,18.542145
1,-18.937454,13.773446
1,-19.628313,9.844055
1,-7.2425666,15.249855
1,-20.331472,14.662681
1,-19.44143,15.622907
1,-21.09196,11.798544
1,11.014891,-1.1177682
1,-3.0374343,-18.451082
1,4.1781764,-4.9346585
1,-16.704834,12.810725
1,5.738075,7.222925
